City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Percent Humidity,Percent Cloudiness,Wind Speed
186,Vila Do Maio,CV,2022-04-29 02:11:39,clear sky,15.1333,-23.2167,70.66,80,0,15.61
187,Majene,ID,2022-04-29 02:07:25,broken clouds,-3.5403,118.9707,86.18,67,55,5.99
188,Cidreira,BR,2022-04-29 02:11:19,overcast clouds,-30.1811,-50.2056,66.27,86,100,7.58
189,Lodwar,KE,2022-04-29 02:11:40,broken clouds,3.1191,35.5973,76.62,75,72,2.53
190,Ilulissat,GL,2022-04-29 02:11:41,light snow,69.2167,-51.1,26.62,93,100,0.0
191,Lanycsok,HU,2022-04-29 02:11:42,scattered clouds,46.0054,18.6253,49.33,91,28,6.22
192,Seddon,AU,2022-04-29 02:11:42,light rain,-37.8068,144.8916,72.68,74,75,14.97
193,Yazd,IR,2022-04-29 02:11:43,overcast clouds,31.8972,54.3675,70.65,23,99,2.51
194,Kodiak,US,2022-04-29 02:10:24,overcast clouds,57.79,-152.4072,44.11,76,100,20.71
195,Chapais,CA,2022-04-29 02:11:44,broken clouds,49.7834,-74.8492,25.45,89,80,5.77
196,Iskateley,RU,2022-04-29 02:11:45,broken clouds,67.6803,53.1512,18.7,95,79,11.59
197,Luis Gil Perez,MX,2022-04-29 02:11:45,scattered clouds,17.8667,-93.05,79.92,84,29,5.91
198,Sorong,ID,2022-04-29 02:11:46,overcast clouds,-0.8833,131.25,82.51,74,100,8.14
199,Camana,PE,2022-04-29 02:11:46,overcast clouds,-16.6228,-72.7111,66.65,82,100,5.93
200,Maturin,VE,2022-04-29 02:11:47,overcast clouds,9.75,-63.1767,75.2,93,99,5.88
201,San Pedro,PH,2022-04-29 02:11:47,overcast clouds,14.35,121.0167,90.32,69,94,15.12
202,Winchester,GB,2022-04-29 02:11:48,broken clouds,51.0651,-1.3187,47.48,79,82,6.2
203,Agdas,AZ,2022-04-29 02:11:48,broken clouds,40.65,47.4761,51.67,61,83,3.8
204,Los Llanos De Aridane,ES,2022-04-29 02:11:49,scattered clouds,28.6585,-17.9182,60.55,92,40,11.5
205,Aklavik,CA,2022-04-29 02:11:50,overcast clouds,68.2191,-135.0107,24.44,84,100,10.63
206,Cherskiy,RU,2022-04-29 02:11:50,overcast clouds,68.75,161.3,21.34,90,99,11.48
207,Poum,NC,2022-04-29 02:08:06,overcast clouds,-20.2333,164.0167,75.83,78,100,13.06
208,Ornskoldsvik,SE,2022-04-29 02:11:51,scattered clouds,63.2909,18.7153,25.75,80,37,5.75
209,Arcata,US,2022-04-29 02:11:52,clear sky,40.8665,-124.0828,57.2,69,0,5.75
210,Merauke,ID,2022-04-29 02:11:52,overcast clouds,-8.4667,140.3333,84.49,71,100,7.87
211,Bandarbeyla,SO,2022-04-29 02:11:53,scattered clouds,9.4942,50.8122,82.58,79,28,2.59
212,Mabay,PH,2022-04-29 02:11:53,overcast clouds,6.0577,124.4666,83.44,74,98,2.08
213,Lorengau,PG,2022-04-29 02:11:54,broken clouds,-2.0226,147.2712,85.32,68,84,2.98
214,Matara,LK,2022-04-29 02:11:55,overcast clouds,5.9485,80.5353,81.93,76,87,4.9
215,Sao Joao Da Barra,BR,2022-04-29 02:11:55,clear sky,-21.6403,-41.0511,76.05,88,0,12.68
216,Lagoa,PT,2022-04-29 02:09:21,light rain,39.05,-27.9833,62.65,84,100,21.63
217,Kang,BW,2022-04-29 02:11:56,broken clouds,-23.6752,22.7876,60.3,49,74,8.19
218,Inhambane,MZ,2022-04-29 02:11:57,clear sky,-23.865,35.3833,68.43,81,3,4.07
219,Saint John,CA,2022-04-29 02:07:25,overcast clouds,45.2727,-66.0677,36.99,97,100,13.96
220,High Level,CA,2022-04-29 02:11:58,overcast clouds,58.5169,-117.136,35.98,92,100,11.59
221,Nioro,GM,2022-04-29 02:08:17,clear sky,13.35,-15.75,79.5,30,0,8.99
222,Fairbanks,US,2022-04-29 02:11:59,clear sky,64.8378,-147.7164,53.56,33,0,4.61
